,0,category,2cat
601,PICNIC BASKET WICKER LARGE,"This product falls under the category of ""Outdoor and Picnic Supplies"".","['Picnic', 'Supplies']"
602,CREAM SWEETHEART EGG HOLDER,This product belongs in the Decor category.,Decor
603,PINK 3 PIECE POLKADOT CUTLERY SET,This product can be classified under the category of Kitchenware or Cutlery.,"['Kitchenware', 'Cutlery']"
604,PINK PARTY BAGS,This product falls under the category of Party Supplies.,"['Party', 'Supplies']"
605,BLUE PARTY BAGS ,"This product falls under the category of ""Party Supplies.""","['Party', 'Supplies']"
606,PINK CREAM FELT CRAFT TRINKET BOX ,This product can be classified as Craft or Decor.,"['Craft', 'Decor']"
607,RED RETROSPOT OVEN GLOVE DOUBLE,"This product belongs to the ""Kitchen and Dining"" category, specifically under the sub-category of ""Kitchen Linens"" or ""Cookware Accessories"".","['Linens', 'Accessories']"
608,RIDGED GLASS STORAGE JAR CREAM LID,"This product falls under the category of ""Kitchen & Dining"" or ""Storage & Organization,"" specifically under the subcategory of ""Kitchen storage containers"" or ""Glass jars with lids.""","['jars', 'lids']"
609,PACK OF 20 NAPKINS PANTRY DESIGN,"This product falls under the category of ""Decor.""",Decor
610,SWEETHEART CAKESTAND 3 TIER,"This product would fall under the category of ""Kitchenware"" or ""Serveware,"" specifically under the subcategory of ""Bakeware"" or ""Cake Stands.""","['Cake', 'Stands']"
611,CHRISTMAS HANGING STAR WITH BELL,"This product would most likely fall under the category of ""Decor"".",Decor
612,MULTICOLOUR  CONFETTI IN TUBE,This product falls under the Decor category.,Decor
613,CHOCOLATE 3 WICK MORRIS BOX CANDLE,"This product falls under the category of ""Home Decor"" or simply ""Decor.""","['Decor', 'Decor']"
614,SET OF 16 VINTAGE PISTACHIO CUTLERY,Decor,Decor
615,CHRISTMAS TOILET ROLL,"This product falls under the category of ""Holiday Decor"".","['Holiday', 'Decor']"
616,WHITE BELL HONEYCOMB PAPER ,Decor,Decor
617, 4 PURPLE FLOCK DINNER CANDLES,This product falls under the category of Lighting.,Lighting
618,PINK & WHITE BREAKFAST TRAY,This product would fall under the category of Decor.,Decor
619,ENGLISH ROSE SPIRIT LEVEL ,This product falls under the category of Tools or Hardware.,"['Tools', 'Hardware']"
620,LARGE ROUND WICKER PLATTER ,Decor,Decor
621,BLACK TEA TOWEL CLASSIC DESIGN,"This product falls under the category of ""Kitchen and Dining"" or ""Home Essentials"".","['Home', 'Essentials']"
622,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,This product belongs to the category of Lighting.,Lighting
623,ROSES REGENCY TEACUP AND SAUCER ,This product falls into the category of Drinkware.,Drinkware
624,T-LIGHT HOLDER HANGING LACE,"This product falls under the category of ""Decor"".",Decor
625,HANGING HEART MIRROR DECORATION ,"This product falls into the ""Decor"" category.",Decor
626,CREAM SLICE FLANNEL CHOCOLATE SPOT ,This product falls under the category of Home Decor.,"['Home', 'Decor']"
627,CREAM SLICE FLANNEL PINK SPOT ,"This product can be classified as ""Home Decor"" or ""Bedding"".","['Decor', 'Bedding']"
628,GREEN REGENCY TEACUP AND SAUCER,Category: Drinkware,Drinkware
629,EIGHT PIECE DINOSAUR SET,Category: Toys,Toys
630,HEADS AND TAILS SPORTING FUN,The product 'HEADS AND TAILS SPORTING FUN' can be classified as a Sporting Goods item.,"['Goods', 'item']"
631,ASS COL SMALL SAND GECKO P'WEIGHT,This product appears to be in the Decor category.,Decor
632,ENAMEL MEASURING JUG CREAM,This product can be classified as Kitchenware.,"['product', 'Kitchenware']"
633,12 PENCILS SMALL TUBE SKULL,This product belongs to the Stationery category.,Stationery
634,12 PENCIL SMALL TUBE WOODLAND,This product falls into the Stationery category.,Stationery
635,BLUE PAPER PARASOL ,This product can be classified in the category of Decor.,Decor
636,VICTORIAN  METAL POSTCARD SPRING,This product would likely fall under the category of Decor.,Decor
637,METAL 4 HOOK HANGER FRENCH CHATEAU,"This product can be classified under the ""Decor"" category.",Decor
638,BLACK KITCHEN SCALES,This product falls under the category of Kitchen Accessories.,"['Kitchen', 'Accessories']"
639,RED KITCHEN SCALES,This product falls under the category of Kitchen Accessories or Kitchen Gadgets.,"['Kitchen', 'Gadgets']"
640,IVORY KITCHEN SCALES,This product falls under the category of Kitchen Accessories.,"['Kitchen', 'Accessories']"
641,MULTI COLOUR SILVER T-LIGHT HOLDER,This product falls under the category of Decor.,Decor
642,3 HOOK HANGER MAGIC GARDEN,Decor,Decor
643,ASSORTED COLOUR LIZARD SUCTION HOOK,Decor,Decor
644,JUMBO BAG WOODLAND ANIMALS,Decor,Decor
645,CHILDREN'S CIRCUS PARADE MUG,This product would fall under the category of Drinkware.,Drinkware
646,PACK 3 FIRE ENGINE/CAR PATCHES,"This product falls under the ""Accessories"" category.",Accessories
647,CARD PSYCHEDELIC APPLES,Stationery,Stationery
648,IVORY ENCHANTED FOREST PLACEMAT,Decor,Decor
649,PACK OF 6 PANNETONE GIFT BOXES,Decor,Decor
650,MEASURING TAPE BABUSHKA RED,This product falls under the category of Stationery.,Stationery
651,RED ENCHANTED FOREST PLACEMAT,"This product would fall under the category of ""Decor.""",Decor
652,CHILDRENS DOLLY GIRL MUG,The product 'CHILDRENS DOLLY GIRL MUG' would be classified under the category 'Drinkware'.,'Drinkware
653,TOADSTOOL MONEY BOX,This product falls under the category of Home Decor.,"['Home', 'Decor']"
654,MAKE YOUR OWN FLOWERPOWER CARD KIT,"This product falls under the category of ""Stationery"" as it involves creating personalized cards.","['Stationery', 'cards']"
655,PAPER CHAIN KIT LONDON,This product falls into the category of Stationery.,Stationery
656,MEASURING TAPE BABUSHKA BLUE,This product belongs in the category of Stationery or Tools & Home Improvement.,"['Home', 'Improvement']"
657,PENCIL CASE LIFE IS BEAUTIFUL,This product falls under the category of Stationery.,Stationery
658,WOODEN ROUNDERS GARDEN SET ,"This product falls into the category of ""Outdoor Furniture"" or ""Garden Furniture"".","['Furniture', 'Furniture']"
659,CHILDS BREAKFAST SET DOLLY GIRL ,"This product can be classified as ""Drinkware"" or ""Kitchenware"".","['Drinkware', 'Kitchenware']"
660,CHILDS BREAKFAST SET SPACEBOY ,This product can be classified as Drinkware.,"['product', 'Drinkware']"
661,CAKE PLATE LOVEBIRD WHITE,Decor,Decor
662,WOODEN ADVENT CALENDAR RED,This product falls under the category of Decor.,Decor
663,GREEN CHRISTMAS TREE CARD HOLDER,This product falls under the category of Decor.,Decor
664,STRING OF STARS CARD HOLDER,Stationery,Stationery
665,SET/12 TAPER CANDLES,This product falls under the category of Lighting.,Lighting
666,MINT KITCHEN SCALES,This product belongs to the 'Kitchenware' category.,'Kitchenware
667,WHITE WOOD GARDEN PLANT LADDER,"This product falls under the category of Decor, specifically for garden decor.","['garden', 'decor']"
668,GLASS JAR ENGLISH CONFECTIONERY,"This product falls into the category of ""Food Storage"" or ""Kitchen Storage.""","['Kitchen', 'Storage']"
669,GLASS JAR DIGESTIVE BISCUITS,This product can be classified as Food or Snacks.,"['Food', 'Snacks']"
670,MILK BOTTLE WITH GLASS STOPPER ,This product can be classified under the category of Drinkware.,Drinkware
671,WELCOME  WOODEN BLOCK LETTERS,This product falls under the category of Decor.,Decor
672,SET/4 MODERN VINTAGE COTTON NAPKINS,"This product can be classified as ""Decor"".","['product', 'Decor']"
673,VINTAGE UNION JACK APRON,This product belongs to the category of Decor.,Decor
674,SWALLOW SQUARE TISSUE BOX,This product falls under the category of Decor.,Decor
675,NO JUNK MAIL METAL SIGN,"This product would fall under the ""Decor"" category.",Decor
676,SLATE TILE NATURAL HANGING,Decor,Decor
677,VINTAGE GLASS COFFEE CADDY,This product falls under the category of Drinkware.,Drinkware
678,SILVER GLASS T-LIGHT SET,This product belongs to the category of Lighting.,Lighting
679,RIDGED GLASS FINGER BOWL,This product falls under the category of Drinkware.,Drinkware
680,GLASS  BEURRE DISH,"This product falls under the category of ""Kitchenware"" or ""Serveware.""","['Kitchenware', 'Serveware']"
681,GIN & TONIC DIET GREETING CARD ,This product would fall under the category of Stationery.,Stationery
682,"BIRTHDAY CARD, RETRO SPOT",This product is classified as Stationery.,"['product', 'Stationery']"
683,WRAP RED APPLES ,"This product falls under the category of Decor, specifically as a decorative item for the home or kitchen.","['home', 'kitchen']"
684,RED RETROSPOT WRAP ,"This product falls under the category of Stationery, specifically gift wrapping supplies.","['Stationery', 'supplies']"
685,WRAP CHRISTMAS SCREEN PRINT,Decor,Decor
686,FANCY FONTS BIRTHDAY WRAP,This product belongs to the category of Stationery.,Stationery
687,CLASSIC WHITE FRAME,This product can be classified under the category of Decor.,Decor
688,BLACK DINER WALL CLOCK,This product would fall under the category of **Decor**.,"['*', '*']"
689,DOORMAT PEACE ON EARTH BLUE,This product belongs to the category of Decor.,Decor
690,BOX OF 24 COCKTAIL PARASOLS,"This product belongs to the ""Drinkware"" category.",Drinkware
691,GROW YOUR OWN PLANT IN A CAN ,"This product falls under the category of ""Wellness"" as it involves nurturing and growing a plant, which can contribute to mental health and well-being.","['health', 'well-being']"
692,PLASTERS IN TIN STRONGMAN,This product falls under the category of Wellness.,Wellness
693,MINI JIGSAW DINOSAUR ,This product would fall under the category of 'Toys & Games'.,"[""'Toys"", 'Games']"
694,MINI JIGSAW BAKE A CAKE ,This product falls under the category of Toys & Games.,"['Toys', 'Games']"
695,MINI JIGSAW DOLLY GIRL,"This product belongs to the category of Toys & Games, specifically in the Puzzles subcategory.","['Puzzles', 'subcategory']"
696,WOODEN SCHOOL COLOURING SET,This product falls under the category of Stationery.,Stationery
697,PACK OF 12 TRADITIONAL CRAYONS,This product falls under the category of Stationery.,Stationery
698,CARD PARTY GAMES ,"This product falls under the category of Stationery, specifically under the subcategory of Games or Entertainment.","['Games', 'Entertainment']"
699,BOOZE & WOMEN GREETING CARD ,This product falls under the category of Stationery.,Stationery
700,PACK OF 12 SUKI TISSUES ,"This product falls under the category of ""Household Essentials.""","['Household', 'Essentials']"
701,PACK OF 12 WOODLAND TISSUES ,"This product can be classified as ""Household Essentials"" or ""Home and Kitchen"".","['Home', 'Kitchen']"
702,PACK OF 12 SKULL TISSUES,This product falls under the category of Wellness.,Wellness
703,PACK OF 12 CIRCUS PARADE TISSUES ,This product would be classified as Decor.,"['product', 'Decor']"
704,PACK OF 12 SPACEBOY TISSUES,This product falls under the category of 'Stationery'.,'Stationery
705,LADS ONLY TISSUE BOX,This product belongs to the category of Decor.,Decor
706,RED RETROSPOT TISSUE BOX,Decor,Decor
707,GINGERBREAD MAN COOKIE CUTTER,This product falls under the category of 'Kitchen Tools' or 'Baking Supplies'.,"['Tools', 'Supplies']"
708,GIN AND TONIC MUG,This product would fall under the category of Drinkware.,Drinkware
709,IF YOU CAN'T STAND THE HEAT MUG,This product falls under the category of Drinkware.,Drinkware
710,I CAN ONLY PLEASE ONE PERSON MUG,"This product belongs to the ""Drinkware"" category.",Drinkware
711,PINK HEART SHAPE EGG FRYING PAN,This product belongs to the category of Kitchenware.,Kitchenware
712,200 RED + WHITE BENDY STRAWS,"This product belongs in the ""Drinkware"" category.",Drinkware
713,RECIPE BOX RETROSPOT ,"This product would fall under the category of ""Stationery"" as it is a recipe box which is typically used for organizing and storing recipe cards.","['box', 'cards']"
714,RECIPE BOX PANTRY YELLOW DESIGN,"This product falls under the ""Stationery"" category as it is a recipe box used for organizing and storing recipes.","['box', 'recipes']"
715,RECIPE BOX BLUE SKETCHBOOK DESIGN,This product can be classified into the category of Stationery.,Stationery
716,20 DOLLY PEGS RETROSPOT,"This product can be classified under the category of ""Household Essentials"" or ""Laundry Supplies.""","['Essentials', 'Supplies']"
717,NO SINGING METAL SIGN,This product can be classified under the category of Decor.,Decor
718,BISCUIT TIN VINTAGE RED,This product would fall under the category of Decor.,Decor
719,EMERGENCY FIRST AID TIN ,Wellness,Wellness
720,POLKADOT PEN,This product falls under the category of Stationery.,Stationery
721,DECORATIVE PLANT POT WITH FRIEZE,This product can be classified under the category of Decor.,Decor
722,FRENCH BLUE METAL DOOR SIGN 5,"This product falls into the category of Decor, specifically under Door Signs.","['Door', 'Signs']"
723,CHEST OF DRAWERS GINGHAM HEART ,This product fits into the category of Furniture/Home Decor.,"['Furniture/Home', 'Decor']"
724,RED RETROSPOT CAKE STAND,"This product can be classified under the category of Kitchen or Dining, specifically under Serveware or Baking Accessories.","['Baking', 'Accessories']"
725,JOY WOODEN BLOCK LETTERS,This product would likely fall under the category of Decor.,Decor
726,NOEL WOODEN BLOCK LETTERS ,"This product falls under the category of Decor as it refers to wooden block letters that are likely used for decorating during the Christmas season with the word ""NOEL.""","['word', 'NOEL']"
727,PEACE WOODEN BLOCK LETTERS,This product fits into the category of Decor.,Decor
728,OFFICE MUG WARMER BLACK+SILVER ,This product belongs to the category of Drinkware.,Drinkware
729,SET OF 2 CHRISTMAS DECOUPAGE CANDLE,This product falls under the category of Decor.,Decor
730,COSMETIC BAG VINTAGE ROSE PAISLEY,This product would be classified under the category of **Beauty & Wellness**.,"['*', '*']"
731,PINK ROSE FABRIC MIRROR,Decor,Decor
732,SILVER PLATE CANDLE BOWL SMALL,This product falls under the category of Decor.,Decor
733,SMALL REGAL  SILVER CANDLEPOT ,This product falls under the category of Decor.,Decor
734,ANTIQUE TALL SWIRLGLASS TRINKET POT,This product falls under the category of Decor.,Decor
735,ANTIQUE GLASS PEDESTAL BOWL,Decor,Decor
736,GUMBALL MAGAZINE RACK,This product falls under the category of Decor.,Decor
737,RED FLOWER CROCHET FOOD COVER,This product belongs to the category of Decor or Kitchen Accessories.,"['Kitchen', 'Accessories']"
738,CHERRY CROCHET FOOD COVER,"This product falls under the category of ""Kitchen & Dining"" or more specifically, ""Kitchen Accessories"".","['Kitchen', 'Accessories']"
739,STRAWBERRY RAFFIA FOOD COVER,"This product falls under the category of ""Food Cover"".","['Food', 'Cover']"
740,POLKA DOT RAFFIA FOOD COVER,"This product falls under the category of Kitchen & Dining, specifically under the subcategory of Food Storage or Kitchen Accessories.","['Kitchen', 'Accessories']"
741,DOORMAT SPOTTY HOME SWEET HOME,This product falls under the category of Decor.,Decor
742,T-LIGHT GLASS FLUTED ANTIQUE,"This product belongs to the ""Lighting"" category.",Lighting
743,SILVER  CANDLEPOT JARDIN ,"This product belongs to the ""Decor"" category.",Decor
744,POLKADOT MUG PINK ,This product can be classified as Drinkware.,"['product', 'Drinkware']"
745,PAPER BUNTING COLOURED LACE,"This product belongs in the ""Decor"" category.",Decor
746,ANTIQUE GLASS HEART DECORATION ,Decor,Decor
747,SET OF 6 KASHMIR FOLKART BAUBLES,Decor,Decor
748,CHRISTMAS RETROSPOT ANGEL WOOD,Decor,Decor
749,CHRISTMAS RETROSPOT STAR WOOD,"This product falls under the category of Decor, specifically Holiday Decor.","['Holiday', 'Decor']"
750,HEART WOODEN CHRISTMAS DECORATION,This product falls under the category of 'Decor'.,'Decor
751,LARGE HANGING IVORY & RED WOOD BIRD,This product falls under the category of Decor.,Decor
752,SMALL HANGING IVORY/RED WOOD BIRD,"This product belongs in the ""Decor"" category.",Decor
753,GRAND CHOCOLATECANDLE,This product falls under the category of Home Decor.,"['Home', 'Decor']"
754,FAIRY CAKE BIRTHDAY CANDLE SET,This product belongs to the category of Lighting.,Lighting
755,3 HOOK PHOTO SHELF ANTIQUE WHITE,Decor,Decor
756,CREAM SWEETHEART WALL CABINET,This product falls under the category of Decor.,Decor
757,DOORMAT ENGLISH ROSE ,This product can be classified into the category of Decor.,Decor
758,DOORMAT UNION FLAG,"This product belongs to the category of ""Decor"".",Decor
759,ROMANTIC IMAGES NOTEBOOK SET,This product falls into the category of Stationery.,Stationery
760,CURIOUS  IMAGES NOTEBOOK SET,Stationery,Stationery
761,VINTAGE KEEPSAKE BOX PARIS DAYS,This product would likely fall under the category of Decor.,Decor
762,RED GINGHAM ROSE JEWELLERY BOX,This product can be classified under the category of Decor.,Decor
763,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,This product would fall under the category of Home Decor.,"['Home', 'Decor']"
764,"CHARLIE+LOLA""EXTREMELY BUSY"" SIGN",This product falls under the category of Decor.,Decor
765,CHARLOTTE BAG SUKI DESIGN,"This product can be classified under the category of ""Fashion Accessories.""","['Fashion', 'Accessories']"
766,LOLITA  DESIGN  COTTON TOTE BAG,"This product falls into the category of ""Fashion Accessories"" or ""Bags and Totes"".","['Bags', 'Totes']"
767,LETS GO SHOPPING COTTON TOTE BAG,This product falls under the category of Fashion & Accessories.,"['Fashion', 'Accessories']"
768,PAINT YOUR OWN CANVAS SET,This product falls under the category of Arts & Crafts.,"['Arts', 'Crafts']"
769,CAMOUFLAGE LED TORCH,This product falls under the category of Lighting.,Lighting
770,BLUE DRAGONFLY HELICOPTER,"This product could fall under the category of ""Toys & Games"" or ""Outdoor Play Equipment.""","['Play', 'Equipment']"
771,YELLOW SHARK HELICOPTER,"This product is likely in the category of ""Toys"" or ""Remote-Controlled Vehicles"".","['Toys', 'Vehicles']"
772,RED SHARK HELICOPTER,The product 'RED SHARK HELICOPTER' would likely fall under the category of Toys or Hobby & Collectibles.,"['Hobby', 'Collectibles']"
773,TOOL BOX SOFT TOY ,"This product can be classified as a ""Toy"" under the category of ""Children's Products.""","['Children', 'Products']"
774,DOCTOR'S BAG SOFT TOY,This product falls under the category of Toys.,Toys
775,CARRIAGE,"This product is likely to fall under the category of ""Decor"".",Decor
776,JUMBO BAG SCANDINAVIAN PAISLEY,"This product falls under the category of ""Bags and Totes"".","['Bags', 'Totes']"
777,JUMBO BAG TOYS ,"This product falls into the category of ""Storage & Organization"" or ""Kids & Toys.""","['Kids', 'Toys']"
778,DECORATIVE ROSE BATHROOM BOTTLE,This product belongs to the Decor category.,Decor
779,DECORATIVE CATS BATHROOM BOTTLE,"This product falls under the ""Decor"" category.",Decor
780,RAIN PONCHO RETROSPOT,"This product falls under the category of ""Apparel & Accessories"".","['Apparel', 'Accessories']"
781,CHRISTMAS TREE DECORATION WITH BELL,This product can be classified under the category of Decor.,Decor
782,CHRISTMAS TREE HEART DECORATION,"This product falls under the ""Decor"" category.",Decor
783,CHRISTMAS TREE STAR DECORATION,This product falls under the category of Decor.,Decor
784,CHRISTMAS HANGING TREE WITH BELL,"This product belongs to the ""Decor"" category.",Decor
785,GLITTER STAR GARLAND WITH BELLS ,This product can be classified under the category of Decor.,Decor
786,GLITTER CHRISTMAS TREE WITH BELLS,"This product falls into the category of Decor, specifically under Holiday Decor.","['Holiday', 'Decor']"
787,LILAC DIAMANTE PEN IN GIFT BOX,This product falls under the category of Stationery.,Stationery
788,HEARTS GIFT TAPE,Stationery,Stationery
789,CAKES AND BOWS GIFT  TAPE,"This product would likely fall under the category of Stationery, particularly within the subcategory of gift wrapping supplies.","['gift', 'supplies']"
790,BINGO SET,This product falls into the category of Games & Toys.,"['Games', 'Toys']"
791,GARDEN METAL SIGN ,This product belongs to the category of Decor.,Decor
792,UNION STRIPE WITH FRINGE  HAMMOCK,This product falls under the category of `Outdoor Furniture`.,Furniture
793,SUKI  SHOULDER BAG,This product falls under the category of Fashion & Accessories.,"['Fashion', 'Accessories']"
794,SKULLS DESIGN FLANNEL,"This product falls under the category of ""Apparel"".",Apparel
795,KITTENS DESIGN FLANNEL,"This product falls under the ""Bedding"" category.",Bedding
796,SET OF 6 STRAWBERRY CHOPSTICKS,This product falls under the category of Kitchenware or Dining.,"['Kitchenware', 'Dining']"
797,MODERN FLORAL STATIONERY SET,This product falls under the category of Stationery.,Stationery
798,BOHEMIAN COLLAGE STATIONERY SET,This product falls under the category: Stationery.,Stationery
799,FLORAL FOLK STATIONERY SET,"This product falls into the ""Stationery"" category.",Stationery
800,ROBOT BIRTHDAY CARD,"This product falls under the category of ""Stationery"".",Stationery
801,CHRISTMAS CARD SCREEN PRINT ,"This product falls into the category of Stationery, specifically under Greeting Cards or Holiday Cards.","['Holiday', 'Cards']"
802,CHRISTMAS PUDDING TRINKET POT ,"This product falls under the category of Decor, specifically a Christmas-themed decor item.","['decor', 'item']"
803,CHOC TRUFFLE GOLD TRINKET POT ,This product falls under the category of Decor.,Decor
804,BROWN  PIRATE TREASURE CHEST ,Decor,Decor
805,SMALL WHITE RETROSPOT MUG IN BOX ,This product falls under the category of Drinkware.,Drinkware
806,6 RIBBONS EMPIRE  ,"This product is best classified under the category of ""Stationery"" as it likely refers to a set of 6 ribbons, which are commonly used for decorative and crafting purposes.","['ribbons', 'purposes']"
807,RIBBON REEL POLKADOTS ,This product belongs in the category of Stationery.,Stationery
808,RIBBON REEL FLORA + FAUNA ,This product can be classified as Stationery.,"['product', 'Stationery']"
809,PAPER BUNTING RETROSPOT,"This product can be classified as ""Decor"" since it is a paper bunting designed to add a decorative touch to a space.","['touch', 'space']"
810,LADLE LOVE HEART RED ,This product belongs to the category of Kitchenware or Kitchen Tools.,"['Kitchen', 'Tools']"
811,LADLE LOVE HEART PINK,This product falls under the category of kitchenware or kitchen utensils.,"['kitchen', 'utensils']"
812,ANGEL DECORATION 3 BUTTONS ,This product falls under the category of Decor.,Decor
813,STAR DECORATION RUSTIC,Category: Decor,Decor
814,HEART DECORATION WITH PEARLS ,"This product would fall under the ""Decor"" category.",Decor
815,HEART DECORATION RUSTIC HANGING ,"This product would fall under the ""Decor"" category.",Decor
816,HEART GARLAND RUSTIC PADDED,This product falls under the category of Decor.,Decor
817,FAMILY ALBUM WHITE PICTURE FRAME,Decor,Decor
818,CAKE STAND VICTORIAN FILIGREE SMALL,"This product can be classified under the category of ""Kitchen & Dining"" or more specifically under ""Serveware"" or ""Bakeware.""","['Serveware', 'Bakeware']"
819,LOCAL CAFE MUG,This product falls under the category of Drinkware.,Drinkware
820,MILK PAN RED RETROSPOT,This product can be classified under the category of Kitchenware.,Kitchenware
821,FRYING PAN UNION FLAG,This product would likely fall under the category of Kitchenware or Cookware.,"['Kitchenware', 'Cookware']"
822,EASTER DECORATION NATURAL CHICK,"This product would be classified under the category of ""Decor"" as it is an Easter decoration.","['Decor', 'decoration']"
823,WASH BAG VINTAGE ROSE PAISLEY,"This product can be classified as a ""Storage & Organization"" item.","['Organization', 'item']"
824,PIG KEYRING WITH LIGHT & SOUND ,This product falls under the category of Lighting.,Lighting
825,COFFEE MUG DOG + BALL DESIGN,This product falls into the category of Drinkware.,Drinkware
826,COFFEE MUG CAT + BIRD DESIGN,This product falls into the category of Drinkware.,Drinkware
827,TEA COSY RED  STRIPE,This product belongs in the category of Drinkware.,Drinkware
828,OFFICE MUG WARMER CHOC+BLUE,This product falls into the category of Drinkware.,Drinkware
829,HEART DECORATION PAINTED ZINC ,This product can be classified as a Decor item.,"['Decor', 'item']"
830,DOVE DECORATION PAINTED ZINC ,This product can be classified as a Decor item.,"['Decor', 'item']"
831,PARTY PIZZA DISH BLUE POLKADOT,This product falls under the category of Kitchenware or Kitchen Accessories.,"['Kitchen', 'Accessories']"
832,TEA BAG PLATE RED RETROSPOT,This product belongs to the Drinkware category.,Drinkware
833,CHARLOTTE BAG PINK POLKADOT,"This product is most likely in the category of ""Fashion Accessories"" or ""Bags.""","['Accessories', 'Bags']"
834,GLASS JAR KINGS CHOICE,"This product falls into the ""Drinkware"" category.",Drinkware
835,GLASS JAR DAISY FRESH COTTON WOOL,"This product can be classified under the category of ""Decor.""",Decor
836,AIRLINE BAG VINTAGE JET SET BROWN,This product can be classified in the category of Travel or Luggage.,"['Travel', 'Luggage']"
837,WALL TIDY RETROSPOT ,This product falls under the category of Decor.,Decor
838,TOY TIDY SPACEBOY  ,"This product would likely fall under the category of ""Home Organization"" or ""Kids' Room Storage.""","['Room', 'Storage']"
839,PAPERWEIGHT KINGS CHOICE ,"This product can be classified into the ""Stationery"" category.",Stationery
840,MAGNETS PACK OF 4 RETRO PHOTO,Category: Decor,Decor
841,LIPSTICK PEN RED,"This product falls under the ""Stationery"" category.",Stationery
842,TOOTHPASTE TUBE PEN,This product belongs to the category of stationery.,stationery
843,ENAMEL WATERING CAN CREAM,This product can be classified under the category of Gardening or Home and Garden.,"['Home', 'Garden']"
844,WATERING CAN PINK BUNNY,This product falls under the category of Decor.,Decor
845,SET OF 9 BLACK SKULL BALLOONS,"This product belongs to the ""Party Supplies"" category.",Supplies
846,TV DINNER TRAY AIR HOSTESS ,"This product would fall under the category of ""Home and Kitchen.""","['Home', 'Kitchen']"
847,EMPIRE UNION JACK TV DINNER TRAY,Decor,Decor
848,WATERING CAN GARDEN MARKER,This product falls under the category of Garden Tools or Gardening Accessories.,"['Gardening', 'Accessories']"
849,BIRDHOUSE GARDEN MARKER ,"This product would fall under the category of ""Outdoor Decor"" or ""Gardening Accessories"".","['Decor', 'Accessories']"
850,DAISY GARDEN MARKER,Decor,Decor
851,SET OF 2 TINS VINTAGE BATHROOM ,This product belongs to the category of Decor.,Decor
852,CHILDS GARDEN SPADE PINK,This product falls under the category of 'Wellness' as it is a gardening tool designed for children to engage in outdoor activities and learn about gardening.,"['activities', 'gardening']"
853,CHILDS GARDEN RAKE PINK,This product falls under the category of Gardening Tools.,"['Gardening', 'Tools']"
854,CHILDS GARDEN BRUSH PINK,"This product would most likely fall under the category of ""Gardening Tools"" or ""Outdoor & Garden"".","['Outdoor', 'Garden']"
855,MINI JIGSAW BUNNIES,This product belongs in the category of Toys & Games.,"['Toys', 'Games']"
856,HOLIDAY FUN LUDO,This product can be classified as a game or toy.,"['game', 'toy']"
857,TRADITIONAL MODELLING CLAY,"This product can be classified as an ""Arts & Crafts"" item.","['Crafts', 'item']"
858,CARDHOLDER GINGHAM STAR,Stationery,Stationery
859,WOODEN CROQUET GARDEN SET,This product can be classified under the category of Outdoor Games or Garden Games.,"['Garden', 'Games']"
860,SET OF 4 NAPKIN CHARMS HEARTS,"This product belongs to the ""Decor"" category.",Decor
861,RED BABY BUNTING ,"This product falls under the category of Clothing, specifically Baby Clothing.","['Baby', 'Clothing']"
862,FRENCH KITCHEN SIGN BLUE METAL,This product belongs to the Decor category.,Decor
863,SET OF 6 RIBBONS VINTAGE CHRISTMAS,This product can be classified as Decor.,"['product', 'Decor']"
864,FUNKY DIVA PEN,Stationery,Stationery
865,SMALL PURPLE BABUSHKA NOTEBOOK ,This product would fall under the Stationery category.,Stationery
866,LARGE RED BABUSHKA NOTEBOOK ,This product falls under the category of Stationery.,Stationery
867,LARGE PURPLE BABUSHKA NOTEBOOK  ,Stationery,Stationery
868,CHALKBOARD KITCHEN ORGANISER,This product falls under the category of Decor as it is a functional and decorative piece for the kitchen.,"['piece', 'kitchen']"
869,FLUTED ANTIQUE CANDLE HOLDER,This product falls under the category of Decor.,Decor
870,CARD MOTORBIKE SANTA,This product falls under the category of Stationery.,Stationery
871,CARD CHRISTMAS VILLAGE,This product falls under the category of Stationery.,Stationery
872,CREAM WALL PLANTER HEART SHAPED,This product falls under the Decor category.,Decor
873,VINTAGE CREAM DOG FOOD CONTAINER,"This product would be classified under the category of ""Storage & Organization"" or ""Pet Supplies"".","['Organization', 'Supplies']"
874,BREAD BIN DINER STYLE IVORY,This product falls into the category of Kitchen Storage or Kitchen Organization.,"['Kitchen', 'Organization']"
875,LOVE HEART NAPKIN BOX ,This product falls under the category of Decor because it is a napkin box designed with a love heart theme.,"['heart', 'theme']"
876,NUMBER TILE COTTAGE GARDEN 8,This product can be classified under the category of Decor.,Decor
877,YELLOW GIANT GARDEN THERMOMETER,Category: Outdoor/Home Decor,"['Outdoor/Home', 'Decor']"
878,METAL DECORATION NAUGHTY CHILDREN ,This product falls under the category of Decor.,Decor
879,36 DOILIES DOLLY GIRL,This product falls under the category of Home Decor.,"['Home', 'Decor']"
880,CIRCUS PARADE CHILDRENS EGG CUP ,"This product can be classified under the category of Home & Kitchen, specifically under Tableware.","['Kitchen', 'Tableware']"
881,BLUE VICTORIAN FABRIC OVAL BOX,Decor,Decor
882,RED VICTORIAN FABRIC OVAL BOX,Decor,Decor
